kind,objective,mode,n,wavelengths_nm,coverage,power
envelope_0.80,envelope,real,7,440 480 504 527 540 640 700,0.859603,6.661727
envelope_0.95,envelope,real,7,440 486 504 520 540 640 700,0.871807,6.787095
envelope_0.42,envelope,real,8,447 480 504 520 527 540 620 640,0.844871,5.910636
envelope_0.55,envelope,real,8,447 480 504 520 527 540 620 640,0.844871,5.910636
envelope_0.80,envelope,real,8,440 480 504 520 527 540 640 700,0.872676,6.315879
envelope_0.95,envelope,real,8,420 474 495 505 520 540 640 700,0.888712,8.539908
envelope_0.42,envelope,real,9,447 480 504 520 527 540 620 640 700,0.868393,5.910636
envelope_0.55,envelope,real,9,447 480 504 520 527 540 620 640 700,0.868393,5.910636
envelope_0.80,envelope,real,9,440 480 495 504 520 527 540 640 700,0.884607,6.315879
envelope_0.95,envelope,real,9,420 474 495 505 516 527 540 640 700,0.893756,8.451274
envelope_0.42,envelope,real,10,380 447 480 504 520 527 540 620 640 700,0.884664,5.910636
envelope_0.55,envelope,real,10,380 447 480 504 520 527 540 620 640 700,0.884664,5.910636
envelope_0.80,envelope,real,10,380 440 480 496 504 520 527 540 640 700,0.894890,6.315879
envelope_0.95,envelope,real,10,420 447 480 496 505 518 527 540 640 700,0.895581,6.331118
envelope_0.42,envelope,real,11,380 447 480 496 504 520 527 540 620 640 700,0.896321,5.910636
envelope_0.55,envelope,real,11,380 447 480 496 504 520 527 540 620 640 700,0.896321,5.910636
envelope_0.80,envelope,real,11,380 440 480 496 504 520 527 540 620 640 700,0.895892,6.038094
envelope_0.95,envelope,real,11,420 447 480 496 505 518 527 540 580 640 700,0.902128,6.331118
envelope_0.42,envelope,real,12,380 447 474 496 504 520 529 540 568 620 640 700,0.896130,6.005009
envelope_0.55,envelope,real,12,380 447 474 496 504 520 529 540 580 620 640 700,0.899825,6.023315
envelope_0.80,envelope,real,12,380 440 480 496 504 518 527 540 580 620 640 700,0.903125,6.087943
envelope_0.95,envelope,real,12,420 460 486 496 504 513 520 529 540 580 640 700,0.905421,7.557347
